year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2012,CV,wyg,Male,2012-7-9,4,0,44.3634,36.6978,3.51,3.6,29.8962,29.0523
2012,CV,wry,Male,2012-7-9,0,0,44.9383,36.8933,3.53,3.51,30.8457,29.8391
2012,CV,wrg,Male,2012-7-9,0,1,46.0919,38.0474,3.46,3.53,30.679,29.8208
2012,CV,gyg,Male,2012-7-15,1,0,48.1517,39.8351,3.81,3.5,33.3528,32.3931
2012,CV,gfp,Male,2012-7-20,0,0,46.8591,39.1121,3.87,3.93,33.3277,32.426
2012,CV,gfg,Male,2012-7-20,0,0,46.0558,38.0449,3.75,3.51,31.0026,30.0951
2013,CV,cdbr,Male,2013-6-24,0,0,47.21726748,38.99995937,5.515072561,2.111641834,31.8279343,30.99409764
2013,CV,cdbw,Male,2013-6-24,0,0,45.29859188,37.61711755,5.256395789,2.065583813,30.8377561,30.20577721
2013,CV,lbyv,Male,2013-7-18,0,0,47.57677077,39.69240035,5.496325782,2.171880877,32.35391648,31.60616246
2013,CV,mulb,Male,2013-6-17,11,0,48.87975008,40.44904691,5.584853084,2.201793581,32.77374813,31.98766247
2013,CV,muv,Male,2013-6-17,0,0,47.85408635,39.57319261,5.630062231,2.128616806,33.41360677,32.50275826
2013,CV,mwf,Male,2013-6-15,0,0,47.00212376,38.63944604,5.680890908,2.299447844,32.75180903,31.77183826
2013,CV,mvo,Male,2013-6-15,3,1,45.7352885,37.75792543,5.448304316,2.175317318,31.75591107,31.05091698
2013,CV,mvp,Male,2013-6-15,5,0,49.46808968,41.28059314,5.486309559,1.766470061,33.80022564,32.81938587
2013,CV,ogm,Male,2013-6-19,15,0,47.0441121,38.80982291,5.617182461,2.107349875,34.06572986,33.21410992
2013,CV,omlb,Male,2013-6-10,7,1,49.59353574,40.76028255,5.990977069,2.277490379,35.17213002,33.75138405
2013,CV,oms,Male,2013-6-8,0,0,48.57493406,40.10640555,5.683400496,2.30583726,33.91737199,33.09921744
2013,CV,omu,Male,2013-6-19,0,0,43.5034536,35.50352414,5.45183445,2.149883928,31.24576303,30.75811297
