year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl
2012,CS,prlb,Female,2012-6-29,0,0,42.6248,34.5835,4.1,4.09,34.0281,32.2023
2012,CS,pfw,Female,2012-6-29,0,0,44.318,35.8249,4.02,4.2,33.4781,32.5665
2012,CS,plby,Female,2012-6-30,5,0,42.7186,34.7915,3.54,3.6,32.486,31.243
2012,CS,plbf,Female,2012-6-30,0,0,42.7147,35.1407,3.64,3.66,32.5573,31.3576
2012,CS,plbr,Female,2012-6-30,0,0,42.7787,35.1449,3.92,3.41,33.4306,32.1106
2012,CS,pgdb,Female,2012-6-30,0,1,44.2136,36.0961,3.98,3.96,34.2206,32.9684
2012,CS,pgc,Female,2012-6-30,0,1,42.2189,34.8833,3.89,3.72,32.89,31.6684
2012,CS,pgp,Female,2012-6-30,0,1,43.3796,35.243,3.92,3.66,33.1617,31.7183
2012,CS,yyp,Female,2012-6-30,0,1,44.5226,35.8297,4.27,3.99,35.7319,34.2531
2012,CS,yrdb,Female,2012-6-30,0,1,41.1925,33.7552,3.8,3.81,31.6584,30.5561
2012,CS,yfc,Female,2012-6-30,0,1,44.6962,36.7987,4.06,3.81,33.5565,32.1561
2012,CS,ygp,Female,2012-7-2,0,0,42.9799,34.8779,4.08,4.14,33.3071,31.684
2012,CS,ylbg,Female,2012-7-2,0,0,38.4623,31.6412,3.74,3.8,31.4411,29.9582
2012,CS,dbyp,Female,2012-7-2,0,0,41.9263,33.9279,4.02,4.11,32.5261,30.9476
2012,CS,dbyg,Female,2012-7-2,0,1,44.774,36.0315,4.13,4.22,34.3521,33.4036
2012,CS,dbry,Female,2012-7-2,0,1,42.4762,34.5423,4.27,3.84,33.0253,31.4082
2012,CS,dbfw,Female,2012-7-2,0,1,42.5048,34.8034,3.73,3.59,32.3624,31.0831
2012,CS,yfw,Female,2012-7-2,0,1,42.5578,34.7755,3.82,4,32.7236,31.7042
2012,CS,yfr,Female,2012-7-2,0,1,41.2957,34.1042,3.72,3.93,33.0162,31.4065
2012,CS,yfy,Female,2012-7-2,0,1,42.3198,34.7047,3.94,3.97,32.695,31.2889
2012,CS,yfg,Female,2012-7-2,0,1,41.298,34.1234,3.86,3.99,33.3592,32.0924
2012,CS,ylbw,Female,2012-7-2,3,1,43.2275,35.3609,3.97,3.96,32.1394,31.0974
2012,CS,ygdb,Female,2012-7-2,0,0,42.5285,34.3061,3.91,4.03,32.8489,31.313
2012,CS,dbrlb,Female,2012-7-2,0,1,43.4742,35.2223,3.98,3.85,32.5954,30.6855
2012,CS,dbfdb,Female,2012-7-2,0,1,42.2589,34.7126,3.78,3.75,32.9235,31.5332
2012,CS,dbfy,Female,2012-7-2,0,1,41.6428,34.0013,3.93,3.86,32.4692,30.9521
2012,CS,rrc,Female,2012-7-4,0,1,43.8776,35.7823,4.01,4.2,33.9485,32.0955
2012,CS,rrdb,Female,2012-7-4,0,1,41.1603,33.7394,3.8,3.95,32.2021,30.7914
2012,CS,rrf,Female,2012-7-4,0,1,43.8955,36.0317,4.08,4.22,33.902,32.3565
2012,CS,rfw,Female,2012-7-4,0,1,41.8164,34.1831,3.3,3.76,32.8049,31.5829
2012,CS,rrg,Female,2012-7-4,1,1,41.7085,33.9603,3.71,3.92,33.2748,31.7741
2012,CS,dblbc,Female,2012-7-4,0,0,43.1486,35.1697,3.95,3.63,32.6818,31.5043
2012,CS,dblbdb,Female,2012-7-4,0,0,43.886,35.9089,3.76,3.85,34.4622,33.1959
2012,CS,dblbw,Female,2012-7-4,0,0,42.7173,34.8142,3.79,3.72,33.7826,32.1397
2012,CS,dbgc,Female,2012-7-4,0,0,39.9606,32.5198,3.8,3.58,31.3288,29.9949
2012,CS,ryw,Female,2012-7-4,0,1,41.171,33.9684,3.66,3.6,32.9083,31.7717
2012,CS,rfdb,Female,2012-7-4,0,1,40.6562,33.4026,3.89,3.62,32.2417,30.506
2012,CS,rlbc,Female,2012-7-4,0,1,42.8484,34.8461,3.83,3.61,33.052,31.9343
2012,CS,rflb,Female,2012-7-4,0,1,42.1422,34.3261,3.95,3.93,32.4162,30.8031
2012,CS,rlbdb,Female,2012-7-5,0,1,41.4207,33.3281,3.95,4.01,32.0506,30.4837
2012,CS,rlbp,Female,2012-7-5,0,1,41.7664,33.7985,3.8,3.99,31.8142,30.3196
2012,CS,rlbg,Female,2012-7-5,0,0,43.2576,34.5467,3.96,4.04,33.4178,31.6912
2012,CS,rlblb,Female,2012-7-5,0,0,39.439,31.9515,3.65,3.72,29.7582,28.5582
2012,CS,fyy,Female,2012-7-5,0,1,43.618,36.072,3.99,4.1,33.4961,31.8491
2012,CS,fyr,Female,2012-7-5,0,1,40.4585,32.6809,3.21,3.93,30.9042,29.8642
2012,CS,frc,Female,2012-7-5,0,1,43.9556,35.6663,3.87,4.08,32.3866,31.1278
2012,CS,fyf,Female,2012-7-5,0,1,44.3829,35.9523,3.77,3.99,33.7721,32.1246
2012,CS,fyg,Female,2012-7-5,0,1,40.7564,33.0164,3.71,3.67,31.7619,30.2651
2012,CS,frp,Female,2012-7-5,0,1,41.6866,33.3028,3.53,3.99,33.6141,32.1504
2012,CS,ffg,Female,2012-7-8,0,1,41.9443,34.0581,3.51,3.87,32.5133,30.9468
2012,CS,flbw,Female,2012-7-8,0,1,42.8114,34.883,3.81,3.99,33.4638,32.4642
2012,CS,flbf,Female,2012-7-8,0,1,41.2003,33.8589,3.68,3.64,31.9252,30.1221
2012,CS,fgy,Female,2012-7-8,0,1,41.1075,33.4785,3.76,3.61,31.343,29.9233
2012,CS,wyw,Female,2012-7-8,0,1,41.8465,34.5,3.82,3.68,32.9477,31.4685
2012,CS,wyy,Female,2012-7-8,10,1,42.2291,34.0735,3.83,3.87,34.0151,32.6176
2012,CS,wylb,Female,2012-7-9,0,0,42.4014,34.5437,3.63,3.86,33.5133,32.0602
2012,CS,wfdb,Female,2012-7-9,20,1,41.5702,33.4237,3.98,4.02,32.3891,31.0178
2012,CS,wrlb,Female,2012-7-9,18,1,41.5778,33.7666,3.97,3.14,32.5131,31.1653
2012,CS,wfp,Female,2012-7-13,0,1,41.7121,34.0114,3.65,3.93,33.5544,31.9924
2012,CS,wff,Female,2012-7-13,0,1,41.0957,33.5888,3.9,3.84,33.0113,31.3123
2012,CS,wlbdb,Female,2012-7-13,0,1,48.2919,39.9578,4.14,4.21,36.0874,35.5439
2012,CS,wgc,Female,2012-7-13,0,1,41.4785,33.5764,3.56,3.56,32.357,30.3758
2012,CS,wgw,Female,2012-7-13,0,1,43.104,35.133,4.04,3.72,33.6744,32.0222
2012,CS,wgp,Female,2012-7-13,0,1,41.4206,33.7664,3.6,3.55,32.9885,31.7673
2012,CS,gyc,Female,2012-7-13,0,1,42.5407,34.8961,3.79,3.71,33.47,31.9227
2012,CS,gyf,Female,2012-7-15,0,0,43.39,35.6103,4.04,3.71,33.8773,32.3641
2012,CS,grw,Female,2012-7-15,7,0,44.7661,36.6264,3.9,3.61,34.4499,32.719
2012,CS,grlb,Female,2012-7-16,0,1,40.026,32.279,3.84,3.37,31.4434,30.0624
2012,CS,grf,Female,2012-7-16,0,0,44.106,35.9622,3.74,3.65,34.4819,32.838
2012,CS,gflb,Female,2012-7-20,0,1,41.0136,33.54,3.58,3.27,32.5163,30.9063
2012,CS,gfr,Female,2012-7-20,0,0,44.0655,36.3376,3.8,3.56,33.4287,31.9984
2012,CS,glbf,Female,2012-7-20,0,0,42.46,34.5748,3.53,3.58,31.767,30.5285
2012,CS,ggw,Female,2012-7-20,4,1,43.7806,36.0465,3.85,3.92,33.9,32.6221
2012,CS,glbg,Female,2012-7-20,0,1,42.9519,34.6241,3.75,3.58,33.7066,32.4405
2012,CS,lbgr,Female,2012-7-20,0,1,44.814,35.5099,4.14,3.91,33.7028,32.3826
2013,CS,ccf,Female,2013-7-5,0,1,44.46575378,36.39196107,5.857597899,2.488634191,35.24809945,33.82501586
2013,CS,ccm,Female,2013-6-24,0,0,44.16154652,35.51416298,5.865899953,1.940840754,34.057461,32.6625089
2013,CS,ccp,Female,2013-7-15,0,0,41.79243912,34.47659469,4.978768867,1.980552803,30.65082243,29.6160529
2013,CS,ccs,Female,2013-6-24,0,0,43.81992246,35.95886312,5.488083308,1.766470061,33.02863296,31.81427981
2013,CS,cfdb,Female,2013-7-15,0,0,42.36862634,35.05092331,5.191881743,2.064268433,33.53177521,31.88365129
2013,CS,cfp,Female,2013-7-5,4,0,42.00392855,34.0690389,5.446850066,1.882107023,33.00044583,31.40133469
2013,CS,cgr,Female,2013-6-24,0,0,45.12816114,36.76601285,5.661533815,2.110247905,34.47361959,32.99305264
2013,CS,cgs,Female,2013-7-15,0,0,44.60916742,36.79792001,5.174588814,1.897915275,33.81983599,32.68638236
2013,CS,clbc,Female,2013-6-28,8,0,41.21707158,33.57835104,5.086708552,1.979981298,31.11509719,29.73773208
2013,CS,clbdb,Female,2013-7-6,0,0,44.02376514,36.00076077,5.405302294,1.936287114,33.38217929,31.68132582
2013,CS,clbg,Female,2013-6-24,0,0,42.57385137,34.68153635,5.325953095,1.873428117,32.29619319,30.49664329
2013,CS,clbp,Female,2013-7-15,0,0,43.17124041,35.46992937,5.404297202,2.191902461,34.77786293,33.47194476
2013,CS,clbw,Female,2013-7-6,0,0,42.25540486,34.1489428,5.62104949,2.086842525,32.25113336,31.04967112
2013,CS,cmc,Female,2013-6-24,7,0,42.8767803,35.07003276,5.383357148,1.894095087,33.0255605,31.2027253
2013,CS,cmm,Female,2013-7-6,0,0,42.16401827,34.33250192,5.258806664,2.021724474,32.41589035,30.82698457
2013,CS,cms,Female,2013-7-5,0,0,45.33341599,37.55789254,5.351264748,2.007793778,34.39954543,33.00789997
2013,CS,cmu,Female,2013-7-5,4,1,42.63882872,34.68346159,5.492700617,2.06119595,32.40226363,31.17927322
2013,CS,coo,Female,2013-7-6,0,0,44.22935511,36.74272808,5.256869441,2.115069131,34.18985382,32.76159449
2013,CS,cop,Female,2013-6-12,11,1,45.08704925,36.78260065,5.618471766,2.258929266,34.44156284,33.14196366
2013,CS,cow,Female,2013-7-9,0,0,42.66356431,34.46526124,5.810419763,1.960335519,33.04697667,31.52305648
2013,CS,cpf,Female,2013-6-12,0,1,40.78728399,33.25532596,5.106382979,2.064268433,31.88040655,30.75615261
2013,CS,cpm,Female,2013-6-24,0,0,42.43833969,34.773932,5.4063072,1.852164016,32.80249417,31.44132008
2013,CS,cuc,Female,2013-6-12,0,1,44.23406302,36.1064394,5.702484905,2.085106383,33.63310914,32.04114721
2013,CS,cvp,Female,2013-6-5,19,0,44.48411602,35.86507713,5.712280577,2.109067707,32.08738357,30.82574395
2013,CS,cww,Female,2013-6-6,0,1,40.32538547,33.10761361,5.17375765,1.99512761,33.27346201,31.66237539
2013,CS,cyf,Female,2013-6-12,5,1,43.35310399,35.32401915,5.546666094,2.087818471,34.63819853,33.03428058
2013,CS,cyg,Female,2013-6-12,3,0,44.51797059,36.47295084,5.639622486,1.851186105,33.58587321,32.16886775
2013,CS,cyy,Female,2013-7-5,10,1,42.00891281,34.7731509,5.205596459,2.187767962,33.23272153,31.8129703
2013,CS,dbdbr,Female,2013-7-9,2,0,45.76308882,37.28361442,5.781638409,2.178540551,34.20746614,32.73910056
2013,CS,lbsw,Female,2013-7-18,0,0,44.30057526,36.62548272,5.305087798,2.121800443,33.64094981,32.34939209
2013,CS,mcr,Female,2013-7-18,0,0,44.46929653,36.32271356,5.528722483,2.240921527,33.52201008,32.11895957
2013,CS,mcy,Female,2013-7-17,0,0,43.03146122,35.20077574,5.427033584,2.172818627,33.29992396,32.08502585
2013,CS,mdbc,Female,2013-7-17,3,0,43.65970408,35.72346128,5.404925407,2.017689987,32.98162306,31.63896885
2013,CS,mdbf,Female,2013-7-17,0,0,43.77618081,35.76393225,5.341612142,2.115069131,34.52061836,33.19674422
2013,CS,mdbm,Female,2013-7-18,0,0,42.00077604,34.55466536,5.300605977,2.134457226,33.48800969,32.11912782
2013,CS,mdbu,Female,2013-7-17,0,0,41.80851605,34.34048485,5.234734429,1.973683813,31.49614118,30.29053253
2013,CS,mdbw,Female,2013-7-17,0,0,44.96139383,37.0696981,5.574508689,2.175317318,33.93564493,32.39391423
2013,CS,mdby,Female,2013-7-17,0,0,44.16333526,36.29757926,5.702286438,2.278185963,34.14396753,32.2854132
2013,CS,mfr,Female,2013-7-17,0,0,43.50568041,35.64949967,5.504226945,2.086083141,33.96728032,32.86139769
2013,CS,mfw,Female,2013-7-18,0,0,42.19802848,34.59499227,5.241345882,2.321587631,33.17693922,32.02129632
2013,CS,mgdb,Female,2013-7-17,0,0,42.40553638,34.94848437,5.107491015,2.090418765,32.97469483,31.70679199
2013,CS,mgg,Female,2013-7-17,0,0,42.80876972,35.06461087,5.112761973,2.085214934,31.69068907,30.74540293
2013,CS,mgm,Female,2013-7-17,0,0,45.03760815,37.23252277,5.276981798,2.251100028,34.75576578,33.42003006
