year,sp,id,sex,marked,lifespan,cop,tbl,abl,thorl,thorw,fwl,hwl,fpl,fpw
2011,CS,7_5_csm12,Male,2011-7-5,0,0,47.91,37.78,3.7,4.14,30.21,28.93,17.82,9.84
2011,CS,7_5_csm1,Male,2011-7-5,0,0,44.01,34.57,3.54,3.67,29.17,27.81,16.37,9.57
2011,CS,7_4_csm17,Male,2011-7-4,8,0,46.37,36.79,3.81,3.74,29.36,28.81,15.42,10.02
2011,CS,7_4_csm19,Male,2011-7-4,3,0,46.74,37.19,3.75,4.11,30.2,29.1,16.83,9.77
2012,CS,lbcw,Male,2012-6-4,0,0,43.98,32.87,3.35,3.67,28.81,27.63,13.45,8.22
2012,CS,lbcy,Male,2012-6-4,0,0,45.83,36.42,3.68,3.96,30.71,28.85,12.08,9.96
2012,CS,lbcf,Male,2012-6-4,0,0,44.79,35.01,3.38,4.05,26.67,27.77,16.81,9.97
2012,CS,lbcr,Male,2012-6-4,0,0,46.79,36.09,4.02,4.19,32.46,30.5,15.34,9.98
2012,CS,lbcp,Male,2012-6-6,0,0,43.63,33.5,3.66,3.87,29.78,29.1,14.13,8.54
2012,CS,lbcg,Male,2012-6-6,0,0,45.6,35.21,3.97,4,30.61,29.52,15.95,9.07
2012,CS,lbwc,Male,2012-6-6,0,0,46.03,36.3,3.6,3.97,30.33,29.5,17.58,10.03
2012,CS,lbwdb,Male,2012-6-6,6,0,44.07,36.09,3.79,3.89,29.83,27.87,17.51,9.34
2012,CS,lbwp,Male,2012-6-6,0,0,45.3,35.34,3.83,3.89,29.34,28.33,13.09,9.1
2012,CS,lbwy,Male,2012-6-6,0,0,44.93,34.5,3.84,3.85,27.64,26.75,14.56,8.73
2012,CS,lbwr,Male,2012-6-6,0,0,45.84,36.02,3.71,3.84,30.19,29.3,14.7,9.76
2012,CS,lbwf,Male,2012-6-6,0,0,43.42,34.21,3.42,3.72,28.97,27.14,12.7,9.39
2012,CS,lbdbg,Male,2012-6-7,0,0,43.4454,34.8382,3.56,3.78,29.1509,28.3752,12.9156,8.6445
2012,CS,ywy,Male,2012-6-13,0,1,43.8018,35.0509,3.45,3.93,30.3212,29.3066,11.4424,7.4966
2012,CS,ywf,Male,2012-6-13,0,1,45.0835,35.8771,3.36,4.04,31.4028,30.412,15.7539,9.0833
2012,CS,ydbc,Male,2012-6-13,6,1,44.7537,35.8147,4.01,3.95,31.6472,30.5457,15.6603,9.5064
2012,CS,ydbr,Male,2012-6-13,0,1,45.4533,36.2412,3.61,4.11,32.0876,31.1379,18.0463,9.6265
2012,CS,ypc,Male,2012-6-15,0,1,44.0153,36.3122,3.4,4.2,31.1246,30.0099,15.2942,9.5441
2012,CS,ypy,Male,2012-6-15,0,1,43.8955,36.1153,3.6,3.9,30.1511,28.94,15.9541,9.0286
2012,CS,yplb,Male,2012-6-15,0,1,45.2153,36.7164,3.7,4.1,31.7741,30.6879,15.7449,9.7278
2012,CS,ypdb,Male,2012-6-15,0,1,44.0828,35.8651,3.54,3.95,30.7906,29.3775,15.31,8.7988
2012,CS,dbcr,Male,2012-6-15,0,1,44.1398,36.1151,3.7,3.94,30.6536,29.7317,16.9643,9.4278
2012,CS,ypf,Male,2012-6-15,0,1,42.8451,34.9442,3.21,3.82,29.5086,28.4652,14.6294,8.4264
2012,CS,dbcw,Male,2012-6-15,0,1,44.1264,35.9374,3.94,4.13,30.773,29.5999,16.0201,9.8321
2012,CS,dbcdb,Male,2012-6-15,3,1,43.0206,35.2577,3.44,3.89,30.4277,29.1479,15.1552,9.3244
2012,CS,dbclb,Male,2012-6-15,5,1,44.4161,36.0726,3.41,4.32,31.5225,30.5635,15.6903,8.79
2012,CS,dbwc,Male,2012-6-15,4,0,46.3663,37.3676,3.56,3.99,31.2829,30.2327,15.7507,9.6032
2012,CS,dbww,Male,2012-6-15,0,0,46.6195,37.8109,3.77,4.23,31.9313,30.9634,15.3851,9.2354
2012,CS,dbwg,Male,2012-6-15,3,1,46.1744,36.809,4.64,4.13,30.7962,29.6167,12.5873,9.3577
2012,CS,dbdbr,Male,2012-6-15,0,0,46.0721,36.9761,4.17,4.67,30.0713,29.6755,15.6033,9.6302
2012,CS,dbdblb,Male,2012-6-15,4,0,44.2485,35.7916,3.43,3.88,30.7899,29.1978,16.8048,9.1221
2012,CS,dbwf,Male,2012-6-15,3,0,43.8712,35.8021,3.61,3.74,31.1614,30.2486,18.0411,9.6507
2012,CS,dbdbdb,Male,2012-6-15,0,0,46.039,37.0152,3.64,3.96,31.7701,30.6443,15.1388,9.3406
2012,CS,dbdbf,Male,2012-6-15,2,0,42.4663,34.5056,3.67,3.75,29.9845,29.2409,15.8666,9.4432
2012,CS,dbpdb,Male,2012-6-17,0,0,44.411,36.1936,3.48,4.05,29.6686,28.7702,15.2225,9.3216
2012,CS,dbpr,Male,2012-6-17,2,0,42.7119,34.6881,3.59,3.71,29.7867,28.7961,16.4403,8.9897
2012,CS,dbpf,Male,2012-6-17,4,0,45.725,36.8352,3.61,4.08,31.4436,30.6451,18.0408,9.2215
2012,CS,dbplb,Male,2012-6-17,0,0,44.3235,35.6302,3.55,3.97,30.6659,29.5925,15.3375,9.3139
2012,CS,dbpg,Male,2012-6-17,1,0,45.2504,36.3358,3.39,3.91,30.0278,28.6198,16.5899,9.307
2012,CS,rcc,Male,2012-6-17,12,0,44.3149,35.9241,3.38,3.69,29.9798,28.667,19.0167,9.8054
2012,CS,rcw,Male,2012-6-17,1,0,44.8008,35.4929,3.24,3.84,29.2003,28.4305,13.7902,8.8098
2012,CS,rcdb,Male,2012-6-17,3,0,44.4962,36.166,3.46,3.49,29.2168,28.034,16.1297,9.0792
2012,CS,rcp,Male,2012-6-17,4,0,45.2724,36.0174,3.64,3.91,30.6672,29.3068,13.6747,8.9085
2012,CS,ryc,Male,2012-6-17,17,0,44.3346,36.6545,3.68,4.01,30.5613,29.3198,16.8416,9.2194
2012,CS,rclb,Male,2012-6-18,0,1,45.1692,37.2685,3.88,4.02,31.2203,29.9288,18.5186,9.8355
2012,CS,rwc,Male,2012-6-18,0,1,42.5152,35.7435,3.44,3.79,29.9682,29.0572,17.8095,9.3379
2012,CS,rwf,Male,2012-6-18,0,0,44.6601,37.393,3.27,3.88,30.5458,29.2756,16.3501,9.2211
2012,CS,rwp,Male,2012-6-18,12,0,44.884,35.9893,3.76,3.77,31.1137,29.4583,18.302,9.6009
2012,CS,rdbc,Male,2012-6-18,0,0,43.1459,35.0634,3.59,3.65,29.6805,28.6516,16.5125,9.1605
2012,CS,rdbdb,Male,2012-6-18,0,1,42.7621,35.0253,3.45,3.94,29.0453,28.2297,15.4928,9.3221
2012,CS,rdblb,Male,2012-6-18,3,1,42.7284,34.5384,3.41,3.94,29.6379,28.1396,18.8134,9.5925
